,Climate_region,Income_binary,Country_Name,Country_Code,Region,Income_group,Population,Land_area,Forest_area,Precipitation,Population_density,Capital_lat,GNP_per_Cap,Population_growth,Cereal_yield,Female_life_expectancy,Under_5_mortality,Renewables,CO2,PM25,Women_in_parliament,GINI_index,Govt_spend_education,Secondary_school_enrolment,School_gender_parity
31,Temperate or Polar,High,Canada,CAN,North America,High income,35437435,9093510,38.1717944,537,3.897002917,60,52190,1.00533758,3543,83.9,5.4,22.0246515,15.15892722,7.428419864,25.1,NA,NA,109.3331,1.00857
32,Temperate or Polar,High,Switzerland,CHE,Europe & Central Asia,High income,8188649,39516.001,31.6378156,1537,207.2236257,47,86560,1.22010397,7044.9,85.4,4.4,23.4181472,4.311562994,11.38910719,31,32.5,5.05123,NA,NA
33,Tropical,High,Chile,CHL,Latin America & Caribbean,High income,17758959,743532.031,23.4478119,1522,23.88459173,-30,14990,1.06114513,6128.4,82.191,8.1,26.7170993,4.6490622,22.86825181,15.8,NA,4.73018,100.6821,0.98937
34,Temperate or Polar,High,China,CHN,East Asia & Pacific,Upper middle income,1364270000,9388211.25,22.0253985,645,145.3173521,40,7500,0.50631159,5891.9,77.972,11.6,12.223823,7.543907641,59.76736751,23.4,39.2,NA,NA,1.00948
35,Tropical,Low,Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,22647683,318000,32.7088063,1348,71.21912893,8,1450,2.50454869,2133.1,56.791,93.3,72.2237845,0.487688034,20.90017764,9.4,NA,4.57743,38.9374,0.80755
36,Tropical,Low,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,22681858,472710,40.2699329,1604,47.98260667,6,1480,2.70155572,1629.1,58.418,89.8,76.9753908,0.308791722,56.71530558,31.1,46.6,2.68713,57.51035,0.877
37,Tropical,Low,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,73767447,2267050,67.4398034,1543,32.538959,0,440,3.31967667,770.8,60.282,100.7,92.8713111,0.063330889,42.5494471,10.6,NA,1.95143,45.50179,0.82886
38,Tropical,Low,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,4736974,341500,65.4448035,1646,13.87108053,-1,2590,2.44063896,823.6,63.765,56.4,62.3963358,0.653359719,45.85281627,7.4,NA,4.0172,NA,NA
39,Tropical,High,Colombia,COL,Latin America & Caribbean,Upper middle income,46969209,1109500,52.7521054,3240,42.33367192,4,8190,1.00987227,4102.7,79.164,16.2,24.4418091,1.790356827,18.34420526,19.9,52.7,4.62946,94.98767,1.02437
40,Tropical,Low,Comoros,COM,Sub-Saharan Africa,Lower middle income,759390,1861.00006,20.0967224,900,408.0547961,-12,1480,2.38335748,1364.8,64.917,77.1,46.6155909,0.202812784,21.50207199,3,NA,2.74473,61.09057,0.97979
41,Tropical,Low,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,518269,4030,22.0694795,228,128.6027295,16,3360,1.26620961,34.3,75.236,22.2,26.196423,0.948113817,31.62108111,20.8,NA,4.96387,95.14744,1.01991
