treatment,individual,EL,EW,FPW,GW,HL,ML,MPW,MW,PL,PC1,PC2
GFP,16,1338.77,1504.02,1354.41,1506.1,210.07,587.54,1635.55,306.73,1185.58,3.506478811,-0.190702892
GFP,17,1313.85,1457.88,1287.27,1444.05,225.55,538.62,1584.14,294.13,1147.78,2.358993347,0.425198096
GFP,18,1311.27,1435.93,1278.13,1424.06,194.6,542.77,1547.89,297.21,1141.02,1.697913176,0.186068677
GFP,19,1294.13,1389.12,1240.71,1393.15,205.69,535.78,1521.34,296.6,1115.1,1.072868214,0.846194457
GFP,20,1324.67,1435.95,1280.69,1437.36,232.44,572.01,1558.33,288.31,1120.26,2.189274261,0.730845245
GFP,21,1365.78,1495.27,1378.81,1486.02,216.71,609.8,1635.05,305.14,1188.83,3.793830278,-0.228793158
GFP,22,1293.6,1388.92,1261.35,1360.44,190.18,535.63,1500.42,282.11,1053.39,0.459643645,0.527310003
GFP,23,1284.74,1404.54,1225.13,1374.48,194.6,578.15,1513.02,291.3,1099.17,0.842855461,0.761316449
GFP,24,1265.21,1404.44,1234.04,1351.38,201.24,513.11,1512.54,275.91,1103.59,0.535329287,0.579887303
InR2_1ng,1,1267.65,1322.17,1190.11,1169.77,97.32,298.28,1423.75,176.73,1023.81,-3.484033381,-2.173056807
InR2_1ng,2,1362.65,1469.28,1330.95,1483.81,176.91,562.77,1602.59,273.07,1176.37,2.510591822,-1.032764203
InR2_1ng,3,1316.5,1443.91,1294.68,1313.67,194.64,331.95,1521.61,184.07,1124.94,0.061763149,-1.83779585
InR2_1ng,4,1268.03,1358.33,1210.52,1206.03,163.69,276.79,1438.66,199.85,1060.8,-2.117405011,-1.207714023
InR2_1ng,5,1406.93,1465.98,1359.31,1427.67,155.56,478.01,1595.05,214.05,1190.26,1.874174921,-2.67095992
InR2_1ng,6,1299.78,1421.41,1290.44,1346.67,212.33,513.32,1553.72,241.52,1113.39,1.087751103,-0.146025263
InR2_1ng,7,1347.53,1431.36,1281.41,1376.04,210.36,495.68,1557.78,225.18,1148.67,1.392533392,-0.796061696
InR2_1ng,8,1315.71,1424.09,1276.99,1452.96,238.86,542.24,1530.82,268.01,1154.58,2.018970748,0.642294945
InR2_1ng,9,1333.9,1447.05,1299.23,1382.6,223.61,446.21,1554.26,228.66,1138.92,1.45539771,-0.688795136
InR2_1ng,10,1331.19,1364.86,1267.09,1327.16,190.22,472.01,1494.85,211.22,1085.72,-0.035351724,-0.657301874
InR2_1ng,11,1306.43,1373.86,1254.06,1315.78,163.77,501.37,1510.45,216.02,1092.8,-0.289321939,-0.872335219
InR2_1ng,12,1316.36,1337.13,1202.97,1284.77,188.01,391.07,1467.1,196.95,1099.63,-0.973122867,-0.738167775
InR2_1ng,13,1382.11,1486.13,1338.95,1464.22,194.64,540.78,1635.12,226.72,1190.56,2.672914802,-1.670272052
InR2_1ng,14,1307.27,1408.91,1300.23,1355.51,192.39,504.87,1532.41,224.65,1112.28,0.694774614,-0.63046126
InR2_1ng,15,1392.35,1478.07,1361.35,1463.35,199.21,526.12,1621.41,222.65,1196.2,2.736813277,-1.734400442
InR2_1ng,16,1307.67,1380.45,1281.22,1306.16,171.43,423.37,1483.01,200.83,1098.58,-0.474133764,-1.213030794
InR2_1ng,17,1289.84,1364.6,1275.91,1253.8,126.04,283.66,1455.17,176.04,1079.09,-2.013376627,-2.383667536
InR2_1ng,18,1345.67,1392.55,1267.2,1371.76,194.59,559.45,1547.93,252.44,1125.58,1.196430482,-0.244937302
InR2_1ng,19,1362.17,1490.41,1296.97,1428.8,194.64,507.37,1566.88,208.4,1153.28,1.706028227,-1.62659504
InR2_1ng,20,1239.74,1361.65,1210.36,1298.05,196.8,558.12,1467.77,278.32,1048.37,-0.313618739,1.246110692
InR2_1ng,21,1325.99,1409.13,1293.31,1367.06,177.58,536.5,1528.22,220.52,1120.99,0.708579787,-0.927816762
InR2_1ng,22,1277.09,1474.61,1306.85,1380.84,212.33,435.48,1565.58,214.05,1165.63,1.224551136,-0.961310269
InR2_1ng,23,1230.8,1298.83,1135.51,1205.2,161.44,415.01,1374.3,168.53,1028.77,-3.097215883,-0.314808682
InR2_1ng,24,1305.28,1339.3,1205.33,1265.03,183.55,381.47,1433.22,197.41,1068.12,-1.392167728,-0.674024575
